Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D116,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,217.15,-116.325,0.0,top
D117,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,225.15,-116.325,0.0,top
D118,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,233.15,-116.325,0.0,top
D119,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,241.15,-116.325,0.0,top
D120,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,249.15,-116.325,0.0,top
D121,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,257.15,-116.325,0.0,top
D122,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,265.15,-116.325,0.0,top
D123,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,273.15,-116.325,0.0,top
D124,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,281.15,-116.325,0.0,top
D125,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,289.15,-116.325,0.0,top
D126,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,297.15,-116.325,0.0,top
D127,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,305.15,-116.325,0.0,top
D128,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,313.15,-116.325,0.0,top
D129,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,321.15,-116.325,0.0,top
D13,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,385.15,-164.325,0.0,top
D130,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,329.15,-116.325,0.0,top
D131,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,337.15,-116.325,0.0,top
D132,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,345.15,-116.325,0.0,top
D133,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,353.15,-116.325,0.0,top
D134,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,361.15,-116.325,0.0,top
D135,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,369.15,-116.325,0.0,top
D136,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,377.15,-116.325,0.0,top
D137,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,385.15,-116.325,0.0,top
D138,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,145.15,-124.325,0.0,top
D139,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,153.15,-124.325,0.0,top
D14,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,145.15,-92.325,0.0,top
D140,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,161.15,-124.325,0.0,top
D141,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,169.15,-124.325,0.0,top
D142,SK6812,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,177.15,-124.325,0.0,top
